block,count
1,54
2,80
3,69
4,59
5,59
6,64
7,79
8,80
9,68
10,44
11,2
12,109
0013A,56
14,56
15,29
16,29
17,47
18,61
19,78
20,113
21,111
22,16
23,48
0023A,40
0023B,14
24,6
26,101
27,96
28,7
31,81
32,72
34,71
35,40
0036A,62
0036B,47
37,66
0037A,50
38,3
40,5
41,54
42,113
43,44
44,48
45,48
46,1
47,67
49,62
50,95
53,75
54,45
0055A,33
0055B,92
0055C,86
0055D,85
0056A,28
57,20
58,96
59,85
60,37
61,56
62,42
63,63
64,60
65,75
66,66
67,17
69,1
70,18
71,88
72,116
73,47
74,85
75,64
76,85
77,81
78,69
79,41
80,26
81,2
82,65
83,103
84,84
85,61
86,53
87,57
89,65
90,43
91,1
92,35
93,4
94,92
95,104
96,97
97,64
98,67
100,2
101,47
102,50
103,53
104,57
105,20
106,108
107,98
108,64
109,35
110,54
112,68
113,52
114,59
115,92
116,38
117,37
118,115
119,115
120,93
121,69
122,71
123,56
124,44
125,55
126,55
127,63
128,95
129,111
130,1
144,20
145,55
146,17
147,73
148,70
149,77
150,69
151,65
152,60
153,49
154,44
155,85
156,85
157,36
158,42
159,42
0159A,42
160,92
161,89
162,123
163,114
164,116
165,24
166,77
167,1
168,41
169,42
170,44
171,1
172,72
173,3
174,69
175,102
176,62
177,86
178,77
179,68
180,52
181,47
182,1
183,1
184,19
185,165
187,93
188,33
189,54
190,92
191,2
192,104
193,84
194,85
195,79
196,52
197,55
198,44
199,30
200,98
202,56
203,22
204,105
205,72
206,72
207,69
208,32
209,26
210,6
211,9
212,38
213,31
214,41
215,48
216,54
217,53
218,69
219,81
220,25
221,46
222,106
223,67
224,34
225,5
226,22
227,62
228,48
229,1
230,1
231,37
232,49
233,81
234,70
235,94
237,58
238,63
239,66
240,11
241,35
242,105
243,93
244,74
245,42
246,56
247,56
248,70
249,76
250,92
251,67
252,82
253,83
254,70
255,20
257,14
258,62
259,37
260,110
261,48
262,95
263,75
264,80
265,99
0266A,71
0266B,42
267,10
269,44
270,48
271,108
272,99
273,98
274,102
275,135
276,99
277,76
279,98
280,107
281,81
282,60
283,88
284,137
285,96
288,108
289,58
290,17
291,77
292,12
293,91
294,85
295,2
296,11
297,34
298,91
299,92
300,1
0300B,50
0300C,88
301,45
302,83
303,89
304,41
305,1
306,45
307,71
308,94
309,41
310,24
311,3
312,4
313,88
314,84
315,42
316,39
317,27
319,26
320,76
321,102
322,45
323,37
324,16
325,94
327,95
328,114
329,52
330,34
331,30
332,41
334,42
336,22
337,37
338,84
339,48
340,43
341,30
342,14
343,20
344,43
345,78
347,40
348,46
349,20
350,3
352,2
353,19
354,28
355,42
359,46
360,33
361,13
362,26
363,44
364,17
365,1
366,4
367,17
368,25
369,41
372,34
373,76
374,22
375,40
376,38
377,39
378,32
379,27
380,46
381,21
382,33
383,39
384,41
386,12
387,21
388,24
389,45
390,34
391,48
392,67
393,86
394,38
396,76
397,21
398,1
399,21
400,54
401,21
402,27
403,40
404,36
407,22
408,34
409,57
410,49
411,80
412,71
413,22
414,37
415,68
416,23
417,1
418,13
419,49
420,23
421,40
422,30
423,27
425,8
427,4
428,33
429,17
430,78
431,93
432,27
433,5
435,1
436,1
438,5
440,2
442,6
446,5
447,8
448,1
452,102
454,80
455,20
457,1
458,1
459,3
460,3
464,4
465,4
466,27
467,55
468,33
469,45
470,53
473,21
0474A,3
475,2
476,3
478,2
480,144
482,18
483,17
484,329
485,26
486,56
488,8
489,9
